trial_type,trial_number,question,slider_left,slider_right,slider_val,box_checked,startDate,startTime,story_reproduction,story_title,generation,chain,HitCorrect,age,gender,education,languages,enjoyment,comments,endTime,timeSpent,experiment_id
suspect_convictionJustified,1,How justified would a conviction be?,not justified,very justified,61,false,Tue Jan 15 2019 10:41:07 GMT-0800 (Pacific Standard Time),1547577667577,There was <u>a group of people</u> scamming other people for money using email. They got money from 5% of their targets. The public found out because of surveillance video.,scam_jail,5,b2lFKlRgR8OxDUPI,1,23,male,graduated_college,English,2,lsadjf,1547577734966,1.12315,8
author_judgmental,2,How judgmental is the author?,not judgmental,very judgmental,25,false,Tue Jan 15 2019 10:41:07 GMT-0800 (Pacific Standard Time),1547577667577,There was <u>a group of people</u> scamming other people for money using email. They got money from 5% of their targets. The public found out because of surveillance video.,scam_jail,5,b2lFKlRgR8OxDUPI,1,23,male,graduated_college,English,2,lsadjf,1547577734966,1.12315,8
story_emotion,3,How emotionally is the story told?,not emotional,very emotional,35,false,Tue Jan 15 2019 10:41:07 GMT-0800 (Pacific Standard Time),1547577667577,There was <u>a group of people</u> scamming other people for money using email. They got money from 5% of their targets. The public found out because of surveillance video.,scam_jail,5,b2lFKlRgR8OxDUPI,1,23,male,graduated_college,English,2,lsadjf,1547577734966,1.12315,8
suspect_conviction,4,How likely do you believe a conviction is?,very unlikely,very likely,68,false,Tue Jan 15 2019 10:41:07 GMT-0800 (Pacific Standard Time),1547577667577,There was <u>a group of people</u> scamming other people for money using email. They got money from 5% of their targets. The public found out because of surveillance video.,scam_jail,5,b2lFKlRgR8OxDUPI,1,23,male,graduated_college,English,2,lsadjf,1547577734966,1.12315,8
control3_true,5,How likely is it that this story contains more than five words?,very unlikely,very likely,50,true,Tue Jan 15 2019 10:41:07 GMT-0800 (Pacific Standard Time),1547577667577,There was <u>a group of people</u> scamming other people for money using email. They got money from 5% of their targets. The public found out because of surveillance video.,scam_jail,5,b2lFKlRgR8OxDUPI,1,23,male,graduated_college,English,2,lsadjf,1547577734966,1.12315,8
info_reliability,6,How reliable do you consider the presented information to be?,very unreliable,very reliable,70,false,Tue Jan 15 2019 10:41:07 GMT-0800 (Pacific Standard Time),1547577667577,There was <u>a group of people</u> scamming other people for money using email. They got money from 5% of their targets. The public found out because of surveillance video.,scam_jail,5,b2lFKlRgR8OxDUPI,1,23,male,graduated_college,English,2,lsadjf,1547577734966,1.12315,8
author_trust,7,How much do you trust the author?,not at all,very much,30,false,Tue Jan 15 2019 10:41:07 GMT-0800 (Pacific Standard Time),1547577667577,There was <u>a group of people</u> scamming other people for money using email. They got money from 5% of their targets. The public found out because of surveillance video.,scam_jail,5,b2lFKlRgR8OxDUPI,1,23,male,graduated_college,English,2,lsadjf,1547577734966,1.12315,8
reader_emotion,8,How affected do you feel by the story?,not affected,very affected,69,false,Tue Jan 15 2019 10:41:07 GMT-0800 (Pacific Standard Time),1547577667577,There was <u>a group of people</u> scamming other people for money using email. They got money from 5% of their targets. The public found out because of surveillance video.,scam_jail,5,b2lFKlRgR8OxDUPI,1,23,male,graduated_college,English,2,lsadjf,1547577734966,1.12315,8
suspect_likability,9,How likable do you find the suspect(s)?,not likable,very likable,23,false,Tue Jan 15 2019 10:41:07 GMT-0800 (Pacific Standard Time),1547577667577,There was <u>a group of people</u> scamming other people for money using email. They got money from 5% of their targets. The public found out because of surveillance video.,scam_jail,5,b2lFKlRgR8OxDUPI,1,23,male,graduated_college,English,2,lsadjf,1547577734966,1.12315,8
story_subjectivity,10,How objectively / subjectively written is the story?,very objective,very subjective,69,false,Tue Jan 15 2019 10:41:07 GMT-0800 (Pacific Standard Time),1547577667577,There was <u>a group of people</u> scamming other people for money using email. They got money from 5% of their targets. The public found out because of surveillance video.,scam_jail,5,b2lFKlRgR8OxDUPI,1,23,male,graduated_college,English,2,lsadjf,1547577734966,1.12315,8
suspect_committedCrime,11,How likely is it that the suspect is / the suspects are guilty?,very unlikely,very likely,27,false,Tue Jan 15 2019 10:41:07 GMT-0800 (Pacific Standard Time),1547577667577,There was <u>a group of people</u> scamming other people for money using email. They got money from 5% of their targets. The public found out because of surveillance video.,scam_jail,5,b2lFKlRgR8OxDUPI,1,23,male,graduated_college,English,2,lsadjf,1547577734966,1.12315,8
control1_false,12,How likely is it that this story is a Greek fairy tale?,very unlikely,very likely,66,false,Tue Jan 15 2019 10:41:07 GMT-0800 (Pacific Standard Time),1547577667577,There was <u>a group of people</u> scamming other people for money using email. They got money from 5% of their targets. The public found out because of surveillance video.,scam_jail,5,b2lFKlRgR8OxDUPI,1,23,male,graduated_college,English,2,lsadjf,1547577734966,1.12315,8
author_likability,13,How likable do you find the author of this story?,not likable,very likable,32,false,Tue Jan 15 2019 10:41:07 GMT-0800 (Pacific Standard Time),1547577667577,There was <u>a group of people</u> scamming other people for money using email. They got money from 5% of their targets. The public found out because of surveillance video.,scam_jail,5,b2lFKlRgR8OxDUPI,1,23,male,graduated_college,English,2,lsadjf,1547577734966,1.12315,8
control4_true,14,How reasonable is it to say that this is a story involving birds?,not reasonable,very reasonable,64,false,Tue Jan 15 2019 10:41:07 GMT-0800 (Pacific Standard Time),1547577667577,There was <u>a group of people</u> scamming other people for money using email. They got money from 5% of their targets. The public found out because of surveillance video.,scam_jail,5,b2lFKlRgR8OxDUPI,1,23,male,graduated_college,English,2,lsadjf,1547577734966,1.12315,8
control2_false,15,How likely is it that this passage is a Bible quote?,very unlikely,very likely,50,true,Tue Jan 15 2019 10:41:07 GMT-0800 (Pacific Standard Time),1547577667577,There was <u>a group of people</u> scamming other people for money using email. They got money from 5% of their targets. The public found out because of surveillance video.,scam_jail,5,b2lFKlRgR8OxDUPI,1,23,male,graduated_college,English,2,lsadjf,1547577734966,1.12315,8
