trial_type,trial_number,question,slider_left,slider_right,slider_val,box_checked,startDate,startTime,story_reproduction,story_title,generation,chain,HitCorrect,age,gender,education,languages,enjoyment,comments,endTime,timeSpent,experiment_id
control2_false,1,How likely is it that this passage is a Bible quote?,very unlikely,very likely,0,false,Tue Jan 15 2019 10:42:22 GMT-0800 (Pacific Standard Time),1547577742251,"<u>a man and woman</u> were scamming people and people found out by surveillance videos. they were sending email with title important- please read"" and scamming people for money only 5% fell for it""",scam_jail,3,b2lFKlRgR8OxDUPI,404,23,female,higher_degree,german,1,slkdfjla,1547577816980,1.2454833333333333,8
author_trust,2,How much do you trust the author?,not at all,very much,68,false,Tue Jan 15 2019 10:42:22 GMT-0800 (Pacific Standard Time),1547577742251,"<u>a man and woman</u> were scamming people and people found out by surveillance videos. they were sending email with title important- please read"" and scamming people for money only 5% fell for it""",scam_jail,3,b2lFKlRgR8OxDUPI,404,23,female,higher_degree,german,1,slkdfjla,1547577816980,1.2454833333333333,8
control3_true,3,How likely is it that this story contains more than five words?,very unlikely,very likely,28,false,Tue Jan 15 2019 10:42:22 GMT-0800 (Pacific Standard Time),1547577742251,"<u>a man and woman</u> were scamming people and people found out by surveillance videos. they were sending email with title important- please read"" and scamming people for money only 5% fell for it""",scam_jail,3,b2lFKlRgR8OxDUPI,404,23,female,higher_degree,german,1,slkdfjla,1547577816980,1.2454833333333333,8
suspect_committedCrime,4,How likely is it that the suspect is / the suspects are guilty?,very unlikely,very likely,64,false,Tue Jan 15 2019 10:42:22 GMT-0800 (Pacific Standard Time),1547577742251,"<u>a man and woman</u> were scamming people and people found out by surveillance videos. they were sending email with title important- please read"" and scamming people for money only 5% fell for it""",scam_jail,3,b2lFKlRgR8OxDUPI,404,23,female,higher_degree,german,1,slkdfjla,1547577816980,1.2454833333333333,8
author_judgmental,5,How judgmental is the author?,not judgmental,very judgmental,27,false,Tue Jan 15 2019 10:42:22 GMT-0800 (Pacific Standard Time),1547577742251,"<u>a man and woman</u> were scamming people and people found out by surveillance videos. they were sending email with title important- please read"" and scamming people for money only 5% fell for it""",scam_jail,3,b2lFKlRgR8OxDUPI,404,23,female,higher_degree,german,1,slkdfjla,1547577816980,1.2454833333333333,8
control1_false,6,How likely is it that this story is a Greek fairy tale?,very unlikely,very likely,73,false,Tue Jan 15 2019 10:42:22 GMT-0800 (Pacific Standard Time),1547577742251,"<u>a man and woman</u> were scamming people and people found out by surveillance videos. they were sending email with title important- please read"" and scamming people for money only 5% fell for it""",scam_jail,3,b2lFKlRgR8OxDUPI,404,23,female,higher_degree,german,1,slkdfjla,1547577816980,1.2454833333333333,8
story_subjectivity,7,How objectively / subjectively written is the story?,very objective,very subjective,24,false,Tue Jan 15 2019 10:42:22 GMT-0800 (Pacific Standard Time),1547577742251,"<u>a man and woman</u> were scamming people and people found out by surveillance videos. they were sending email with title important- please read"" and scamming people for money only 5% fell for it""",scam_jail,3,b2lFKlRgR8OxDUPI,404,23,female,higher_degree,german,1,slkdfjla,1547577816980,1.2454833333333333,8
reader_emotion,8,How affected do you feel by the story?,not affected,very affected,78,false,Tue Jan 15 2019 10:42:22 GMT-0800 (Pacific Standard Time),1547577742251,"<u>a man and woman</u> were scamming people and people found out by surveillance videos. they were sending email with title important- please read"" and scamming people for money only 5% fell for it""",scam_jail,3,b2lFKlRgR8OxDUPI,404,23,female,higher_degree,german,1,slkdfjla,1547577816980,1.2454833333333333,8
info_reliability,9,How reliable do you consider the presented information to be?,very unreliable,very reliable,11,false,Tue Jan 15 2019 10:42:22 GMT-0800 (Pacific Standard Time),1547577742251,"<u>a man and woman</u> were scamming people and people found out by surveillance videos. they were sending email with title important- please read"" and scamming people for money only 5% fell for it""",scam_jail,3,b2lFKlRgR8OxDUPI,404,23,female,higher_degree,german,1,slkdfjla,1547577816980,1.2454833333333333,8
suspect_convictionJustified,10,How justified would a conviction be?,not justified,very justified,77,false,Tue Jan 15 2019 10:42:22 GMT-0800 (Pacific Standard Time),1547577742251,"<u>a man and woman</u> were scamming people and people found out by surveillance videos. they were sending email with title important- please read"" and scamming people for money only 5% fell for it""",scam_jail,3,b2lFKlRgR8OxDUPI,404,23,female,higher_degree,german,1,slkdfjla,1547577816980,1.2454833333333333,8
