"HitCorrect","age","box_checked","chain","comments","education","endTime","enjoyment","gender","generation","languages","question","slider_left","slider_right","slider_val","startDate","startTime","story_reproduction","story_title","timeSpent","trial_number","trial_type","id"
1,28,"false","b2lFKlRgR8OxDUPI","Nice Task and thanks for the Opportunity","higher_degree",1547843306525,2,"female",2,"English","How emotionally is the story told?","not emotional","very emotional",94,"Fri Jan 18 2019 14:24:20 GMT-0600 (Central Standard Time)",1547843060895,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled ""Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.","scam_jail",4.09383333333333,1,"story_emotion",71
1,28,"false","b2lFKlRgR8OxDUPI","Nice Task and thanks for the Opportunity","higher_degree",1547843306525,2,"female",2,"English","How objectively / subjectively written is the story?","very objective","very subjective",97,"Fri Jan 18 2019 14:24:20 GMT-0600 (Central Standard Time)",1547843060895,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled ""Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.","scam_jail",4.09383333333333,2,"story_subjectivity",71
1,28,"false","b2lFKlRgR8OxDUPI","Nice Task and thanks for the Opportunity","higher_degree",1547843306525,2,"female",2,"English","How likely is a conviction of the suspect(s), i.e., the person/people underlined in the story?","very unlikely","very likely",95,"Fri Jan 18 2019 14:24:20 GMT-0600 (Central Standard Time)",1547843060895,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled ""Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.","scam_jail",4.09383333333333,3,"suspect_conviction",71
1,28,"false","b2lFKlRgR8OxDUPI","Nice Task and thanks for the Opportunity","higher_degree",1547843306525,2,"female",2,"English","How likely is it that the suspect is / the suspects are guilty? (i.e., the person/people underlined in the story)","very unlikely","very likely",95,"Fri Jan 18 2019 14:24:20 GMT-0600 (Central Standard Time)",1547843060895,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled ""Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.","scam_jail",4.09383333333333,4,"suspect_committedCrime",71
1,28,"false","b2lFKlRgR8OxDUPI","Nice Task and thanks for the Opportunity","higher_degree",1547843306525,2,"female",2,"English","How justified would a conviction of the suspect(s), i.e., the person/people underlined in the story, be?","not justified","very justified",90,"Fri Jan 18 2019 14:24:20 GMT-0600 (Central Standard Time)",1547843060895,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled ""Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.","scam_jail",4.09383333333333,5,"suspect_convictionJustified",71
1,28,"false","b2lFKlRgR8OxDUPI","Nice Task and thanks for the Opportunity","higher_degree",1547843306525,2,"female",2,"English","How likely is it that this story contains more than five words?","very unlikely","very likely",96,"Fri Jan 18 2019 14:24:20 GMT-0600 (Central Standard Time)",1547843060895,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled ""Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.","scam_jail",4.09383333333333,6,"control3_true",71
1,28,"false","b2lFKlRgR8OxDUPI","Nice Task and thanks for the Opportunity","higher_degree",1547843306525,2,"female",2,"English","How likely is it that this story is a Greek fairy tale?","very unlikely","very likely",93,"Fri Jan 18 2019 14:24:20 GMT-0600 (Central Standard Time)",1547843060895,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled ""Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.","scam_jail",4.09383333333333,7,"control1_false",71
1,28,"false","b2lFKlRgR8OxDUPI","Nice Task and thanks for the Opportunity","higher_degree",1547843306525,2,"female",2,"English","How likable do you find the author of this story?","not likable","very likable",66,"Fri Jan 18 2019 14:24:20 GMT-0600 (Central Standard Time)",1547843060895,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled ""Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.","scam_jail",4.09383333333333,8,"author_likability",71
1,28,"false","b2lFKlRgR8OxDUPI","Nice Task and thanks for the Opportunity","higher_degree",1547843306525,2,"female",2,"English","How affected do you feel by the story?","not affected","very affected",71,"Fri Jan 18 2019 14:24:20 GMT-0600 (Central Standard Time)",1547843060895,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled ""Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.","scam_jail",4.09383333333333,9,"reader_emotion",71
1,28,"false","b2lFKlRgR8OxDUPI","Nice Task and thanks for the Opportunity","higher_degree",1547843306525,2,"female",2,"English","How likely is it that this passage is a Bible quote?","very unlikely","very likely",82,"Fri Jan 18 2019 14:24:20 GMT-0600 (Central Standard Time)",1547843060895,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled ""Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.","scam_jail",4.09383333333333,10,"control2_false",71
